state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,mallar3,Mallard,Anas platyrhynchos,0.4,0.36,0.61,0.55,prebreeding_migration,03-29,0.8888,10 of 48,Wetlands:  Generalist,NA
Washington,margod,Marbled Godwit,Limosa fedoa,0,0.27,0.31,0.44,prebreeding_migration,04-12,1.685,NA,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Tundra
Washington,marmur,Marbled Murrelet,Brachyramphus marmoratus,1.19,1.19,1.19,1.19,resident,year round resident,NA,2 of 4,Forests:  Temperate Western,Coasts:  Marine Waters
Washington,marwre,Marsh Wren,Cistothorus palustris,1.32,1.95,5.56,3.78,nonbreeding,03-08,7.863,7 of 38,Wetlands:  Freshwater Marsh,NA
Washington,merlin,Merlin,Falco columbarius,0.03,0.27,0.7,0.13,postbreeding_migration,10-11,1.487,9 of 11,Forests:  Boreal,Open Country:  Habitat Mosaic
Washington,mewgul2,Short-billed Gull,Larus brachyrhynchus,0,2.04,3.17,0.89,unidentified,11-22,6.802,NA,Wetlands:  Generalist,NA
Washington,moublu,Mountain Bluebird,Sialia currucoides,2.02,1.34,0,1.36,postbreeding_migration,09-20,2.965,10 of 14,Open Country:  Habitat Mosaic,Tundra:  Alpine
Washington,mouchi,Mountain Chickadee,Poecile gambeli,3.29,0,3.48,0,breeding,05-03,3.774,10 of 12,Forests:  Temperate Western,NA
Washington,moudov,Mourning Dove,Zenaida macroura,0.68,0.4,0.41,0.42,breeding,08-09,0.7524,37 of 48,Open Country:  Habitat Mosaic,Open Country:  Developed/Disturbed
Washington,mouqua,Mountain Quail,Oreortyx pictus,0.14,0.14,0.14,0.14,resident,year round resident,NA,4 of 5,Forests:  Temperate Western,Aridlands:  Chaparral
Washington,naswar,Nashville Warbler,Leiothlypis ruficapilla,0.96,0.52,0,1.79,prebreeding_migration,05-03,5.185,6 of 14,Forests:  Boreal,Forests:  Temperate Western
Washington,nopowl,Northern Pygmy-Owl,Glaucidium gnoma,10.02,10.02,10.02,10.02,resident,year round resident,NA,3 of 12,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,norfli,Northern Flicker,Colaptes auratus,2.27,2.85,3.26,3.17,prebreeding_migration,03-22,4.63,7 of 49,Forests:  Generalist,NA
Washington,norgos,American Goshawk,Accipiter atricapillus,0.37,0.35,0.52,0.19,nonbreeding,01-18,1.026,12 of 18,Forests:  Boreal,Forests:  Boreal
Washington,norhar2,Northern Harrier,Circus hudsonius,1.64,1.28,1.55,1.15,postbreeding_migration,09-27,1.982,11 of 24,Grasslands:  Temperate,Wetlands:  Freshwater Marsh
Washington,norpin,Northern Pintail,Anas acuta,0,0.78,0.73,0.67,prebreeding_migration,03-08,3.423,NA,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Tundra
Washington,norsho,Northern Shoveler,Spatula clypeata,0.07,0.08,0.05,0.12,prebreeding_migration,04-26,0.5997,14 of 19,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,norshr4,Northern Shrike,Lanius borealis,0,1.51,4.28,2.33,prebreeding_migration,02-15,5.255,NA,Forests:  Boreal,Tundra:  Arctic
Washington,norwat,Northern Waterthrush,Parkesia noveboracensis,0.05,0.01,0,0.03,prebreeding_migration,05-24,0.1004,10 of 17,Forests:  Boreal,Forests:  Temperate Eastern
Washington,nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2.47,0.49,0,0.93,breeding,05-31,2.944,8 of 48,Open Country Aerial:  Habitat Mosaic,Wetlands Aerial:  Lakes and Rivers
Washington,nswowl,Northern Saw-whet Owl,Aegolius acadicus,0.05,2.69,15.17,0.06,unidentified,02-01,25.2,14 of 19,Forests:  Boreal,Forests:  Temperate Western
Washington,olsfly,Olive-sided Flycatcher,Contopus cooperi,3.33,2.2,0,1.79,postbreeding_migration,07-26,5.863,4 of 19,Forests:  Boreal,Forests:  Temperate Western
Washington,orcwar,Orange-crowned Warbler,Leiothlypis celata,1.55,1.22,0.01,1.19,prebreeding_migration,04-26,5.613,4 of 12,Forests:  Temperate Western,Forests:  Boreal
Washington,osprey,Osprey,Pandion haliaetus,1.35,0.49,0,0.58,postbreeding_migration,08-09,1.689,11 of 46,Wetlands:  Lakes and Rivers,Coasts:  Saltmarsh
Washington,pacloo,Pacific Loon,Gavia pacifica,0.1,1.73,4.48,3.01,prebreeding_migration,04-26,10.99,2 of 4,Wetlands:  Tundra,NA
Washington,pacwre1,Pacific Wren,Troglodytes pacificus,11.99,19.78,30.69,24.77,prebreeding_migration,03-01,33.37,2 of 6,Forests:  Temperate Western,NA
Washington,parjae,Parasitic Jaeger,Stercorarius parasiticus,0,0.28,0,0.01,postbreeding_migration,10-18,4.196,NA,Wetlands:  Tundra,Tundra:  Arctic
Washington,pecsan,Pectoral Sandpiper,Calidris melanotos,0,0.01,0,0,postbreeding_migration,09-27,0.06943,NA,Wetlands:  Tundra,NA
Washington,pelcor,Pelagic Cormorant,Urile pelagicus,2.45,2.45,2.45,2.45,resident,year round resident,NA,2 of 4,Coasts:  Cliffs and Islands,Coasts:  Marine Waters
Washington,perfal,Peregrine Falcon,Falco peregrinus,0.05,0.11,0.24,0.09,nonbreeding,01-04,0.4706,11 of 24,Open Country:  Habitat Mosaic,Open Country:  Developed/Disturbed
Washington,pibgre,Pied-billed Grebe,Podilymbus podiceps,1.34,1.41,1.12,0.88,postbreeding_migration,08-23,2.15,7 of 37,Wetlands:  Freshwater Marsh,NA
Washington,piggui,Pigeon Guillemot,Cepphus columba,5.05,12.16,21.27,10.16,nonbreeding,11-22,59.54,2 of 4,Coasts:  Cliffs and Islands,Coasts:  Marine Waters
Washington,pilwoo,Pileated Woodpecker,Dryocopus pileatus,0.98,0.98,0.98,0.98,resident,year round resident,NA,26 of 40,Forests:  Temperate Generalist,NA
Washington,pingro,Pine Grosbeak,Pinicola enucleator,0.26,0.16,0.12,0.04,breeding,08-30,1.254,8 of 11,Forests:  Boreal,NA
Washington,pinsis,Pine Siskin,Spinus pinus,3.05,3.95,6.72,3.71,nonbreeding,02-01,8.463,4 of 19,Forests:  Boreal,Forests:  Temperate Western
Washington,pomjae,Pomarine Jaeger,Stercorarius pomarinus,0,0.03,0,0,postbreeding_migration,10-11,0.7405,NA,Wetlands:  Tundra,NA
Washington,prafal,Prairie Falcon,Falco mexicanus,0.85,0.86,1.51,1.03,nonbreeding,01-25,2.491,12 of 16,Open Country:  Habitat Mosaic,Aridlands:  Desert Scrub
Washington,purfin,Purple Finch,Haemorhous purpureus,2.46,1.82,1.44,1.65,postbreeding_migration,09-20,5.534,6 of 16,Forests:  Boreal,Forests:  Temperate Western
Washington,purmar,Purple Martin,Progne subis,0.11,0.01,0,0,prebreeding_migration,05-10,0.1979,35 of 40,Open Country Aerial:  Habitat Mosaic,Wetlands Aerial:  Lakes and Rivers
Washington,pygnut,Pygmy Nuthatch,Sitta pygmaea,3.12,3.12,3.12,3.12,resident,year round resident,NA,6 of 14,Forests:  Temperate Western,Forests:  Mesoamerican Highland
Washington,rebmer,Red-breasted Merganser,Mergus serrator,0,0.9,1.83,0.88,nonbreeding,12-27,2.437,NA,Wetlands:  Tundra,Wetlands:  Boreal
Washington,rebnut,Red-breasted Nuthatch,Sitta canadensis,3.95,4.31,4.05,4.37,prebreeding_migration,04-19,5.07,5 of 30,Forests:  Boreal,Forests:  Temperate Western
Washington,rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,9.23,13.6,17.28,16.58,prebreeding_migration,03-01,26.47,4 of 5,Forests:  Temperate Western,NA
Washington,redcro,Red Crossbill,Loxia curvirostra,2.72,3.51,5.76,6.09,prebreeding_migration,04-19,8.283,2 of 26,Forests:  Temperate Generalist,NA
Washington,redhea,Redhead,Aythya americana,1.35,0.27,0.85,0.74,breeding,08-23,1.825,8 of 22,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,redkno,Red Knot,Calidris canutus,0,0,0,4.01,prebreeding_migration,05-03,14.37,NA,Tundra:  Arctic,NA
Washington,reevir1,Red-eyed Vireo,Vireo olivaceus,0.06,0.02,0,0.02,breeding,06-21,0.07572,37 of 42,Forests:  Temperate Generalist,NA
Washington,rengre,Red-necked Grebe,Podiceps grisegena,0.03,1.41,7.73,1.03,nonbreeding,01-25,13.88,7 of 7,Wetlands:  Lakes and Rivers,NA
Washington,rensap,Red-naped Sapsucker,Sphyrapicus nuchalis,5.43,1,0,4.98,prebreeding_migration,04-05,8.653,5 of 12,Forests:  Temperate Western,NA
Washington,rethaw,Red-tailed Hawk,Buteo jamaicensis,2.01,2.12,2.33,2.25,prebreeding_migration,03-15,2.886,11 of 49,Open Country:  Habitat Mosaic,NA
Washington,retloo,Red-throated Loon,Gavia stellata,0.01,0.39,6.01,0.47,nonbreeding,01-25,8.702,2 of 2,Wetlands:  Tundra,Wetlands:  Boreal
Washington,rewbla,Red-winged Blackbird,Agelaius phoeniceus,0.83,0.28,0.22,0.51,postbreeding_migration,08-30,0.9815,28 of 48,Open Country:  Habitat Mosaic,Wetlands:  Freshwater Marsh
Washington,ribgul,Ring-billed Gull,Larus delawarensis,0.64,0.41,0.17,0.4,breeding,07-05,1.084,12 of 42,Wetlands:  Generalist,NA
Washington,rinduc,Ring-necked Duck,Aythya collaris,0.33,2.25,3.54,1.38,postbreeding_migration,11-29,4.829,5 of 18,Wetlands:  Boreal,NA
Washington,rinphe,Ring-necked/Green Pheasant,Phasianus colchicus/versicolor,0.44,0.44,0.44,0.44,resident,year round resident,NA,9 of 22,Wetlands:  Generalist,Wetlands:  Generalist
Washington,rinphe1,Ring-necked Pheasant,Phasianus colchicus,0.45,0.45,0.45,0.45,resident,year round resident,NA,8 of 22,Grasslands:  Temperate,NA
Washington,rocpig,Rock Pigeon,Columba livia,0.09,0.09,0.09,0.09,resident,year round resident,NA,9 of 40,Open Country:  Developed/Disturbed,NA
Washington,rocwre,Rock Wren,Salpinctes obsoletus,1.4,0.45,0.07,0.54,breeding,07-19,1.817,12 of 17,Aridlands:  Desert Scrub,NA
Washington,rolhaw,Rough-legged Hawk,Buteo lagopus,0,0.48,1.53,0.37,nonbreeding,11-29,1.97,NA,Tundra:  Arctic,NA
Washington,ruckin,Ruby-crowned Kinglet,Corthylio calendula,0.22,1.54,0.79,1.1,prebreeding_migration,04-05,3.9,10 of 20,Forests:  Boreal,Forests:  Temperate Western
Washington,rudduc,Ruddy Duck,Oxyura jamaicensis,2.11,0.71,0.43,0.9,breeding,09-06,2.882,4 of 25,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,rudtur,Ruddy Turnstone,Arenaria interpres,0,0,0,0.09,prebreeding_migration,05-10,0.4188,NA,Coasts:  Tundra,Wetlands:  Tundra
Washington,rufgro,Ruffed Grouse,Bonasa umbellus,0.56,0.56,0.56,0.56,resident,year round resident,NA,9 of 23,Forests:  Temperate Generalist,NA
Washington,rufhum,Rufous Hummingbird,Selasphorus rufus,15.07,5.94,0,15.36,prebreeding_migration,04-05,31.98,1 of 6,Forests:  Temperate Western,NA
Washington,sabgul,Sabine's Gull,Xema sabini,0,0.25,0,0.23,prebreeding_migration,05-10,21.82,NA,Wetlands:  Tundra,NA
Washington,saggro,Greater Sage-Grouse,Centrocercus urophasianus,0.04,0.04,0.04,0.04,resident,year round resident,NA,11 of 11,Aridlands:  Sagebrush,NA
Washington,sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,1.27,0.1,0,1.47,breeding,04-19,3.092,8 of 11,Aridlands:  Sagebrush,NA
Washington,sagthr,Sage Thrasher,Oreoscoptes montanus,1.89,0.71,0,1.4,prebreeding_migration,05-10,4.111,9 of 12,Aridlands:  Sagebrush,NA
Washington,sancra,Sandhill Crane,Antigone canadensis,0,0.07,0.02,0.37,prebreeding_migration,04-19,2.816,NA,Wetlands:  Generalist,NA
Washington,sander,Sanderling,Calidris alba,0.03,1.41,1.77,1.11,nonbreeding,12-27,3.06,14 of 17,Tundra:  Arctic,Wetlands:  Tundra
Washington,savspa,Savannah Sparrow,Passerculus sandwichensis,0.61,1.09,0.03,0.67,postbreeding_migration,09-20,5.103,6 of 25,Grasslands:  Temperate,Tundra:  Arctic
Washington,saypho,Say's Phoebe,Sayornis saya,2.27,1.46,0.06,2.61,prebreeding_migration,03-22,4.064,10 of 18,Aridlands:  Desert Scrub,Forests:  Temperate Western
Washington,semplo,Semipalmated Plover,Charadrius semipalmatus,0,0.26,0.11,0.46,prebreeding_migration,05-03,4.715,NA,Coasts:  Beach and Estuary,Tundra:  Arctic
Washington,shbdow,Short-billed Dowitcher,Limnodromus griseus,0.01,0.14,0,10.5,prebreeding_migration,05-03,35.08,20 of 20,Wetlands:  Boreal,NA
Washington,sheowl,Short-eared Owl,Asio flammeus,0.01,0.08,0.68,0.22,nonbreeding,02-15,2.756,12 of 12,Tundra:  Arctic,Grasslands:  Temperate
Washington,shshaw,Sharp-shinned Hawk,Accipiter striatus,0.67,1.8,1.6,1.32,postbreeding_migration,10-11,2.82,10 of 32,Forests:  Temperate Generalist,NA
Washington,shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus,0.02,0.02,0.02,0.02,resident,year round resident,NA,12 of 14,Grasslands:  Temperate,Forests:  Boreal
Washington,snobun,Snow Bunting,Plectrophenax nivalis,0,0.07,0.44,0.04,prebreeding_migration,03-01,1.13,NA,Tundra:  Arctic,NA
Washington,snogoo,Snow Goose,Anser caerulescens,0,0.16,0.35,0.17,prebreeding_migration,02-15,0.4315,NA,Wetlands:  Tundra,Tundra:  Arctic
Washington,snoowl1,Snowy Owl,Bubo scandiacus,0,0,0.15,0.05,nonbreeding,02-15,0.4872,NA,Tundra:  Arctic,NA
Washington,snoplo5,Snowy Plover,Anarhynchus nivosus,0.06,0.04,0.23,0.1,nonbreeding,11-22,0.4711,13 of 13,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
Washington,solsan,Solitary Sandpiper,Tringa solitaria,0,0.03,0,0,postbreeding_migration,08-09,0.2675,NA,Wetlands:  Boreal,NA
Washington,sonspa,Song Sparrow,Melospiza melodia,3.25,3.77,4.34,3.29,postbreeding_migration,09-20,5.659,6 of 43,Open Country:  Habitat Mosaic,NA
Washington,soogro1,Sooty Grouse,Dendragapus fuliginosus,14.36,14.36,14.36,14.36,resident,year round resident,NA,1 of 5,Forests:  Temperate Western,NA
Washington,sora,Sora,Porzana carolina,0.16,0.06,0,0.4,prebreeding_migration,04-26,2.743,10 of 17,Wetlands:  Freshwater Marsh,NA
Washington,spoowl,Spotted Owl,Strix occidentalis,0.01,0.01,0.01,0.01,resident,year round resident,NA,7 of 7,Forests:  Temperate Western,Forests:  Mesoamerican Highland
Washington,sposan,Spotted Sandpiper,Actitis macularius,0.62,0.24,0.04,0.31,prebreeding_migration,05-17,0.7253,6 of 33,Wetlands:  Generalist,NA
Washington,spotow,Spotted Towhee,Pipilo maculatus,5.71,5.54,4.95,6.46,prebreeding_migration,03-22,7.941,8 of 15,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,sprgro,Spruce Grouse,Canachites canadensis,0.07,0.07,0.07,0.07,resident,year round resident,NA,7 of 10,Forests:  Boreal,NA
Washington,stejay,Steller's Jay,Cyanocitta stelleri,8.46,8.46,8.46,8.46,resident,year round resident,NA,4 of 13,Forests:  Temperate Western,Forests:  Mesoamerican Highland
Washington,surfbi,Surfbird,Calidris virgata,0,0.68,4.2,0.21,nonbreeding,12-13,7.662,NA,Tundra:  Alpine,NA
Washington,sursco,Surf Scoter,Melanitta perspicillata,1.83,7.17,5.19,1.87,postbreeding_migration,11-01,10.78,2 of 6,Wetlands:  Boreal,NA
Washington,swahaw,Swainson's Hawk,Buteo swainsoni,1.2,0.12,0,0.21,prebreeding_migration,05-03,1.524,17 of 20,Grasslands:  Temperate,NA
Washington,swathr,Swainson's Thrush,Catharus ustulatus,2.82,1.09,0,0.94,breeding,08-09,4.272,2 of 20,Forests:  Boreal,Forests:  Temperate Western
Washington,towsol,Townsend's Solitaire,Myadestes townsendi,3.21,1.59,0.68,2.59,postbreeding_migration,08-30,5.619,7 of 13,Forests:  Temperate Western,NA
Washington,towwar,Townsend's Warbler,Setophaga townsendi,7.55,3.49,0.22,5.97,postbreeding_migration,08-09,11.48,4 of 5,Forests:  Temperate Western,NA
Washington,treswa,Tree Swallow,Tachycineta bicolor,1.02,0.02,0,0.82,prebreeding_migration,03-29,1.727,17 of 47,Wetlands Aerial:  Generalist,NA
Washington,tribla,Tricolored Blackbird,Agelaius tricolor,0.05,0.05,0.05,0.05,resident,year round resident,NA,4 of 4,Wetlands:  Freshwater Marsh,NA
Washington,truswa,Trumpeter Swan,Cygnus buccinator,0.02,2.22,9.59,1.74,nonbreeding,02-08,13.32,17 of 19,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh
Washington,tunswa,Tundra Swan,Cygnus columbianus,0,0.05,0.18,0.26,prebreeding_migration,03-15,1.45,NA,Wetlands:  Tundra,NA
Washington,turvul,Turkey Vulture,Cathartes aura,0.25,0.08,0,0.11,postbreeding_migration,09-27,0.3054,38 of 48,Open Country:  Habitat Mosaic,NA
Washington,varthr,Varied Thrush,Ixoreus naevius,3.9,8.51,22.09,5.84,nonbreeding,02-15,26.18,2 of 6,Forests:  Temperate Western,NA
Washington,vauswi,Vaux's Swift,Chaetura vauxi,8.76,32.13,0,16.98,postbreeding_migration,09-06,54.53,1 of 6,Forest Aerial:  Temperate Western,Forests Aerial:  Mesoamerican Highland
Washington,veery,Veery,Catharus fuscescens,0.83,0.07,0,0.33,breeding,06-14,1.116,12 of 29,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,vesspa,Vesper Sparrow,Pooecetes gramineus,1.68,0.73,0,1.43,prebreeding_migration,04-19,2.942,10 of 25,Grasslands:  Temperate,NA
Washington,vigswa,Violet-green Swallow,Tachycineta thalassina,6.03,12.97,0,8.26,postbreeding_migration,09-27,27.58,8 of 16,Forest Aerial:  Temperate Western,Forests Aerial:  Mesoamerican Pine-Oak
Washington,virrai,Virginia Rail,Rallus limicola,2.31,15.8,11.78,8.89,prebreeding_migration,03-08,32.31,7 of 35,Wetlands:  Freshwater Marsh,NA
Washington,wantat1,Wandering Tattler,Tringa incana,0,0.11,0,0.06,postbreeding_migration,09-06,1.38,NA,Tundra:  Alpine,Wetlands:  Tundra
Washington,warvir,Warbling Vireo,Vireo gilvus,3.07,2.81,0,2.64,postbreeding_migration,08-23,5.039,6 of 43,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,wesblu,Western Bluebird,Sialia mexicana,3.8,1.18,0.04,3.33,unidentified,04-12,6.156,6 of 11,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,wesfly,Western Flycatcher,Empidonax difficilis,10.25,2.81,0,6.87,prebreeding_migration,06-14,11.26,2 of 15,Forests:  Temperate Western,NA
Washington,wesgre,Western Grebe,Aechmophorus occidentalis,1.24,5.26,13.17,6.33,prebreeding_migration,03-01,17.55,13 of 16,Wetlands:  Freshwater Marsh,NA
Washington,wesgul,Western Gull,Larus occidentalis,2.26,2.26,2.26,2.26,resident,year round resident,NA,3 of 3,Coasts:  Cliffs and Islands,Coasts:  Marine Waters
Washington,weskin,Western Kingbird,Tyrannus verticalis,1.25,0.7,0,0.94,breeding,06-28,1.392,17 of 21,Grasslands:  Temperate,Aridlands:  Desert Scrub
Washington,wesmea,Western Meadowlark,Sturnella neglecta,1.68,1.35,0.67,2.15,prebreeding_migration,03-22,2.643,15 of 22,Grasslands:  Temperate,NA
Washington,wesowl1,Western Screech-Owl,Megascops kennicottii,0.1,0.1,0.1,0.1,resident,year round resident,NA,7 of 13,Forests:  Temperate Western,Aridlands:  Desert Riparian
Washington,wessan,Western Sandpiper,Calidris mauri,0.01,1.92,0.11,3.76,prebreeding_migration,04-26,12.81,6 of 6,Wetlands:  Tundra,NA
Washington,westan,Western Tanager,Piranga ludoviciana,7.71,4,0,4.46,breeding,07-05,8.031,5 of 15,Forests:  Temperate Western,NA
Washington,wewpew,Western Wood-Pewee,Contopus sordidulus,8.47,4.64,0,5,postbreeding_migration,08-02,9.578,4 of 16,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,whbnut,White-breasted Nuthatch,Sitta carolinensis,0.23,0.23,0.23,0.23,resident,year round resident,NA,43 of 48,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,whcspa,White-crowned Sparrow,Zonotrichia leucophrys,0.82,3.07,1.33,2.26,postbreeding_migration,09-13,11.51,5 of 11,Tundra:  Arctic,Forests:  Boreal
Washington,whhwoo,White-headed Woodpecker,Dryobates albolarvatus,1.65,1.65,1.65,1.65,resident,year round resident,NA,3 of 5,Forests:  Temperate Western,NA
Washington,whimbr,Whimbrel,Numenius phaeopus,0.01,0.01,0,0.12,prebreeding_migration,05-10,0.5074,9 of 9,Tundra:  Arctic,Wetlands:  Boreal
Washington,whtpta1,White-tailed Ptarmigan,Lagopus leucura,0.48,0.48,0.48,0.48,resident,year round resident,NA,3 of 6,Tundra:  Alpine,NA
Washington,whtspa,White-throated Sparrow,Zonotrichia albicollis,0,0.01,0,0,postbreeding_migration,10-18,0.01846,NA,Forests:  Boreal,NA
Washington,whtswi,White-throated Swift,Aeronautes saxatalis,0.63,0.25,0,0.28,breeding,06-07,0.7735,11 of 14,Open Country Aerial:  Habitat Mosaic,NA
Washington,whwcro,White-winged Crossbill,Loxia leucoptera,0.01,0.09,0.22,0.05,nonbreeding,01-18,0.3155,7 of 7,Forests:  Boreal,Forests:  Temperate Western
Washington,whwsco2,White-winged Scoter,Melanitta deglandi,0.54,2.46,1.34,0.98,unidentified,01-11,7.076,2 of 6,Wetlands:  Lakes and Rivers,NA
Washington,wilfly,Willow Flycatcher,Empidonax traillii,13.91,6.58,0,6.73,breeding,06-28,14.89,1 of 39,Open Country:  Habitat Mosaic,Forests:  Temperate Western
Washington,wilpha,Wilson's Phalarope,Phalaropus tricolor,0.01,0,0,0.02,prebreeding_migration,05-24,0.1822,18 of 18,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,wilsap,Williamson's Sapsucker,Sphyrapicus thyroideus,6,3.06,0,11.87,prebreeding_migration,03-15,26.47,7 of 11,Forests:  Temperate Western,NA
Washington,wilsni1,Wilson's Snipe,Gallinago delicata,0.15,0.31,0.48,0.26,prebreeding_migration,04-05,2.685,13 of 20,Wetlands:  Generalist,NA
Washington,wiltur,Wild Turkey,Meleagris gallopavo,1.82,1.82,1.82,1.82,resident,year round resident,NA,16 of 49,Forests:  Temperate Generalist,NA
Washington,wlswar,Wilson's Warbler,Cardellina pusilla,2.4,1.13,0,1.51,prebreeding_migration,05-10,4.079,3 of 12,Forests:  Boreal,Forests:  Temperate Western
Washington,wooduc,Wood Duck,Aix sponsa,0.51,0.54,0.31,0.44,postbreeding_migration,09-13,0.7704,35 of 48,Wetlands:  Forested,Forests:  Temperate Eastern
Washington,y00475,American Coot,Fulica americana,1.64,2.7,2.51,2.3,postbreeding_migration,12-06,3.63,9 of 26,Wetlands:  Freshwater Marsh,NA
Washington,y00478,Iceland Gull,Larus glaucoides,0,0.15,0.59,0.09,postbreeding_migration,10-25,1.885,NA,Coasts:  Cliffs and Islands,Coasts:  Marine Waters
Washington,yebcha,Yellow-breasted Chat,Icteria virens,1.13,0.55,0,0.34,breeding,07-19,1.432,22 of 38,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,yehbla,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1.34,0.17,0,0.51,breeding,06-07,1.391,10 of 19,Wetlands:  Freshwater Marsh,NA
Washington,yelwar,Yellow Warbler,Setophaga petechia,1.35,0.66,0,0.84,postbreeding_migration,08-02,1.594,15 of 39,Forests:  Temperate Generalist,Wetlands:  Generalist
Washington,yerwar,Yellow-rumped Warbler,Setophaga coronata,1.06,1.47,0.08,1.32,prebreeding_migration,04-19,4.693,7 of 23,Forests:  Boreal,Forests:  Temperate Western
