state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,bohwax,Bohemian Waxwing,Bombycilla garrulus,0,0.08,0.32,0.06,nonbreeding,01-25,1.116,NA,Forests:  Boreal,NA
Washington,bongul,Bonaparte's Gull,Chroicocephalus philadelphia,0.02,2.6,1.9,1.65,prebreeding_migration,04-12,10.16,7 of 11,Wetlands:  Boreal,NA
Washington,borchi2,Boreal Chickadee,Poecile hudsonicus,0.01,0.01,0.01,0.01,resident,year round resident,NA,8 of 8,Forests:  Boreal,NA
Washington,brant,Brant,Branta bernicla,0,0.25,3.37,2.54,prebreeding_migration,04-19,11.81,NA,Coasts:  Saltmarsh,Coasts:  Tundra
Washington,brdowl,Barred Owl,Strix varia,0.83,0.83,0.83,0.83,resident,year round resident,NA,26 of 42,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,brebla,Brewer's Blackbird,Euphagus cyanocephalus,5.06,1.79,1.49,2,breeding,07-19,6.969,8 of 19,Open Country:  Habitat Mosaic,NA
Washington,brespa,Brewer's Sparrow,Spizella breweri,1.63,0.56,0,0.99,prebreeding_migration,05-31,2.081,9 of 14,Aridlands:  Sagebrush,NA
Washington,brncre,Brown Creeper,Certhia americana,4.99,4.16,5.26,4.28,nonbreeding,02-01,6.619,3 of 30,Forests:  Temperate Generalist,NA
Washington,brnpel,Brown Pelican,Pelecanus occidentalis,0.21,1.12,0,0.01,postbreeding_migration,08-09,2.293,13 of 15,Coasts:  Beach and Estuary,Coasts:  Marine Waters
Washington,btywar,Black-throated Gray Warbler,Setophaga nigrescens,8.92,2.45,0,5.46,breeding,07-05,11.58,5 of 11,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,buffle,Bufflehead,Bucephala albeola,0.04,2.39,7.19,2.9,nonbreeding,01-25,8.022,7 of 10,Wetlands:  Forested,Wetlands:  Lakes and Rivers
Washington,bulori,Bullock's Oriole,Icterus bullockii,4.52,2.43,0,1.95,breeding,06-14,4.837,8 of 17,Forests:  Temperate Western,NA
Washington,burowl,Burrowing Owl,Athene cunicularia,0.06,0.01,0,0.01,breeding,07-05,0.1092,17 of 18,Grasslands:  Temperate,Aridlands:  Desert Scrub
Washington,bushti,Bushtit,Psaltriparus minimus,0.81,0.81,0.81,0.81,resident,year round resident,NA,8 of 12,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
